Hash,Date,Author,Files Changed,Message
81d432ac82b158cc08230a966f35e3a268f32014,Sat Mar 1 19:42:39 2025 -0800,Mark Adams,3,gross but functional handling of cv 1+2 (#3432)
3b4ef139cedda0597f65956eff176a353fa70404,Sat Mar 1 11:44:52 2025 -0500,Katherine Whitlock,5,Remove AlignedBuf and replace with alignas(n) std::array (#3411)
5066b2729e6552b9dbe40d83ab8ac26674de9139,Mon Feb 24 12:31:03 2025 -0500,Katherine Whitlock,2,Convert voice arrays to std::array (#3414)
98e95fd916908fa94e0b4c9327f93a753aeec48b,Tue Feb 18 12:22:23 2025 +0100,Raúl Muñoz,3,Remove Volume Post Reverb Send from automation view and midi follow (#3392)
b50231fe51dc1bf0c5917554ad1f292b34811bab,Sun Feb 16 17:26:18 2025 -0500,Sean Ditny,2,Update midi follow feedback to check context (#3387)
43da502946790a6a6de2efd6f938892bc0260a58,Sat Feb 15 12:05:12 2025 -0500,Katherine Whitlock,2,clang-tidy: ignore magic numbers (#3384)
69d3fecfd196e06c3cdb80df32a10979efd52602,Mon Feb 10 18:31:27 2025 -0500,Mark Adams,3,put stealable sample files in stealable region! (#3368)
0157b8343829df05d43264dacfa233eea517e5ae,Sun Feb 9 23:51:44 2025 -0500,Mark Adams,2,move arm exception tables to sdram (#3355)
ab579db45c4de0d9b59275901b686ac14897fb59,Sun Feb 9 20:28:04 2025 -0500,Mark Adams,5,Use frunk better (#3353)
5a31ec450332500a27c4a0bdfd4d0089200d286c,Sun Feb 9 07:55:03 2025 +0100,Queroland,5,MidiFighter Twister Mappings (#3347)
54bdd9ff00a79b289422dee4b7a62b6db0d7aed5,Tue Jan 7 20:32:44 2025 -0500,Mark Adams,2,show a popup for audio clip type change on 7seg (#3234)
cb286e9884b92a0419662abf539e1dcf4cc0d268,Tue Jan 7 18:15:25 2025 -0500,Katherine Whitlock,3,Move String backing storage to std::shared_ptr<std::string> (#3219)
2ad07a5ccc426dc1350bbe72624ce1beaf72d7ba,Mon Jan 6 00:29:37 2025 -0500,Mark Adams,4,Improvement/gma alignment (#3220)
623f58068a785b08069627b830acc60606b58e3b,Fri Jan 3 22:09:41 2025 +0200,Nikodemus Siivola,3,simplify SoundEditor::beginScreen() and updatePadLightsFor() logic (#3193)
5a7ca2bc93c18571a694555d6e0ad2c7fa782142,Thu Jan 2 18:49:17 2025 +0200,Nikodemus Siivola,4,"add section number to clip names, copy clip names along with clips (#3195)"
e2e8a560c7801969681c50275cd2477b5428f0a3,Mon Dec 30 11:27:47 2024 -0500,Katherine Whitlock,3,Change label storage to std::string (owning) (#3179)
334c8749c1841bcebaae86db95b08d31aaaded3b,Tue Dec 24 18:18:51 2024 -0800,ok-reza,2,Add files via upload (#3137)
cab4339101e6e5d6a82731c4c0ee9746a28c7fa0,Sun Dec 22 16:42:06 2024 -0500,Mark Adams,2,change chord interval storage from int32 to int8 (#3117)
e214eee739205439f44494915844dbc5084ddb0b,Fri Dec 20 11:05:45 2024 -0500,Katherine Whitlock,2,Switch globally-initialized C arrays to std::array (#3100)
442048b44b3ceb47bfe7e5f5538f33e9ebecf362,Tue Dec 17 22:35:59 2024 -0500,Katherine Whitlock,4,Use VCVT for Q31 conversions (#3090)
c44d2476f4a3db20c9cff28692b3db32fbf71afb,Sun Dec 15 15:39:08 2024 -0800,Mark Adams,4,enable l2 instruction cache only (#3072)
45d3a29e14a61484e7d23f8e9d68b9a60d825946,Sun Dec 15 13:14:10 2024 -0800,Mark Adams,5,cull softer to avoid clicks since the scheduler makes large buffers safer anyway (#3067)
15db01aa8aaf0f0a49982deabcb5b1b31347b1d7,Thu Dec 12 15:20:03 2024 +0200,Nikodemus Siivola,5,follow-up to loosening clip-naming restrictions (#3056)
a10216a4b0223b4dfe38243f2025bdcdd601c705,Tue Dec 10 17:59:00 2024 +0200,Nikodemus Siivola,4,some stray v13 toolchain references in IDE configs updated to v16 (#3039)
6e3e7a93e49190ff9ea3af5ca8702939819183f6,Mon Dec 9 19:48:59 2024 -0500,Sean Ditny,3,Stop scrolling during playback (#3032)
189e95edec640f5b68e78c0a3582e859b856447e,Thu Dec 5 21:25:42 2024 -0600,Jamie Fenton,2,Update SysEx code to better support multiple open web browser windows. (#3013)
5733f49424b61ee563a921a85715f0a9a2a67892,Sun Dec 1 20:19:21 2024 -0500,Mark Adams,2,exit auditioning before renaming drum (#3003)
5f1e0ad6fbfab9b8c54516bea225415115055dc0,Tue Nov 26 12:47:08 2024 -0500,Katherine Whitlock,4,Remove macros from voice (#2966)
4dbbbf313326b23d5bf5dde2ae5a139601b4a8a7,Sat Nov 23 16:51:17 2024 -0500,Katherine Whitlock,2,Extract AmplitudeVector creation to own function (#2961)
aeb19c202a2894239a785f0262c666d79c5a2074,Sun Nov 10 10:25:03 2024 -0500,Sean Ditny,2,Added zoom in out shortcut (#2892)
62cf399b97dc9ea31b645c9a3f7baddea259f953,Fri Nov 8 21:13:10 2024 -0500,Sean Ditny,2,Add note copy paste shortcut to automation view (#2891)
c8be99576c0415feab5decba9565be88f6e289e3,Sun Nov 3 16:08:37 2024 -0500,Sean Ditny,2,Toggle note auditioning (#2861)
f7c19e625b00ff26284ce9dbe53cab939a9c4931,Sat Oct 26 22:20:05 2024 -0400,Sean Ditny,2,Persist learned kit midi input (#2829)
9331e446772d0741a77629bddc1b04167c78377f,Tue Oct 8 20:12:36 2024 -0400,Sean Ditny,2,Enable shift in note editor (#2789)
519670e9d17df46c9bb311ff6d3ed1b840583754,Thu Oct 3 14:45:24 2024 -0400,Sean Ditny,4,Replace clip mode with clip settings in song row view (#2750)
8f6d7dc730de5bd0995ef32c7befa7e300275c92,Sun Sep 29 10:57:22 2024 -0400,Sean Ditny,2,Added song macros to change log (#2724)
aed93edd40695f91fc409fd4a27a9b5ee6a0f375,Wed Sep 25 07:45:12 2024 +0200,Raúl Muñoz,5,Feature: Autoload sample to synth or drum when LOAD is toggled On while previewing sounds in sound browser (#2676)
82aac150545ea38409785161e531e722217da925,Mon Sep 16 20:00:20 2024 -0400,Sean Ditny,2,Added ability to load sample to drum (#2650)
03d755dc8a2f1ae0f8390274de4a8a18b9568d94,Fri Sep 13 16:36:06 2024 -0400,Sean Ditny,3,Add troubleshooting tip for stem export with offline rendering (#2637)
1d6c19f727ee67c9168d3ec1d0f64db0ad2ca087,Sun Sep 8 14:35:33 2024 -0400,Mark Adams,2,use enter to confirm (#2612)
6b7aac1c82e46efbfb53702544e7ce48ad660870,Thu Sep 5 15:53:06 2024 -0400,Sean Ditny,3,Update Stem Export Folder Path and File Names (#2572)
fd28543b47be2a37c60f164433883312529e86dc,Mon Sep 2 19:27:35 2024 -0400,Mark Adams,2,print error messages (#2563)
c451f7c47281b30a88bfe0a14d461382977930ed,Sat Aug 31 18:36:43 2024 -0400,Mark Adams,2,keep audio recording track through synth change (#2533)
670b7baef74d2260a9c069aad27c64e3232a6751,Sat Aug 31 01:09:40 2024 -0400,Mark Adams,3,clear audio output source when track is deleted (#2528)
b36bc6cf5586a83b46224b3a9af9b51b3a65234f,Wed Aug 28 10:38:29 2024 -0400,Mark Adams,2,update site for beta (#2512)
506588f487b557c26e8e3943b81dd4bd950fbabb,Mon Aug 26 12:50:53 2024 -0400,Mark Adams,2,ensure file paths are unique in both temp and main folders (#2500)
40639251c9b4f6a7b22c705ec1153b1c22cf37e0,Sat Aug 24 15:58:20 2024 -0400,Mark Adams,2,split declaration from  initialization to avoid duplication (#2489)
aed471f86457ff5e64d5c5a4fd8193ccf2a5d3f6,Sat Aug 24 11:29:12 2024 -0400,Sean Ditny,2,Start Arranger Playback from Scroll Position while in Cross Screen Mode (#2479)
09d26c7085dd1b5356b7ae0df870a892ba79825d,Wed Aug 21 16:39:51 2024 -0400,Sean Ditny,3,Stem Export: Added 60 second recording silence timeout (#2464)
c0189f7b767754b32c3d030c0f1fe562307ec43d,Tue Aug 20 17:00:24 2024 -0400,Madeline Scyphers,4,Allow ColumnControlsKeyboards to opt out of sidebar columns (#2448)
5fa01997d795acbe420cb072e0adf264eecec38b,Sun Aug 18 20:08:50 2024 -0400,Sean Ditny,3,Update pad greyout for Song Macro Config Mode (#2438)
6d231436bc330f7680693a22d02aa322a309c041,Sun Aug 18 16:27:31 2024 +0300,Nikodemus Siivola,3,Enumeration & Selection don't need SoundEditor::menuCurrentScroll (#2451)
17aa6dd7a7e0d59f7b1016dac00de09a4ddae4aa,Sat Aug 17 20:05:16 2024 +0300,Nikodemus Siivola,2,Submenu doesn't need SoundEditor::menuCurrentScroll (#2450)
f34b97d3ea6e6728c33afbdc0beac7ce9d7a52a4,Sat Aug 17 19:56:07 2024 +0300,Nikodemus Siivola,2,MultiRange doesn't need SoundEditor::menuCurrentScroll (#2452)
de428b94041e2e7943a7c44dc02a335dfa15758e,Sat Aug 17 19:55:28 2024 +0300,Nikodemus Siivola,2,Devices does't need SoundEditor::menuCurrentScroll (#2453)
3dbbe90e1b9d5c0d313e602b15fa01ec75928fa5,Fri Aug 16 17:27:12 2024 +0300,Nikodemus Siivola,2,Toggle doesn't need SoundEditor::menuCurrentScroll (#2449)
c67eb3679242059d0be7d3f10d09b9d2e5203b37,Tue Aug 13 21:41:15 2024 -0400,Sean Ditny,4,Restore new clip and audio clip conversion to song row view (#2432)
30a9f5fcbb70d956cb188e4dbe53e1076ffe615f,Sat Aug 10 22:12:44 2024 -0400,Mark Adams,2,don't apply doublings (#2420)
8e684437284ab8cbfd5a61df8882e3a5d75873c4,Thu Aug 8 14:02:33 2024 -0400,Mark Adams,3,create path for new recordings (#2411)
0fd57d5ec7b4d8d350d5c62bcf85067b3629eb83,Wed Aug 7 22:48:10 2024 -0400,Mark Adams,5,if instrument not on card delete it from hibernation on change (#2401)
d79d059beae896acfb8f51d20c8201a2636bba36,Wed Aug 7 22:46:00 2024 -0400,Mark Adams,4,don't change reverb until song swap happens (#2404)
e8357f3b501ef2202c11145fa692fd8f197b4a86,Wed Aug 7 18:07:56 2024 -0400,Mark Adams,5,make names match section mode names (#2399)
4f03ac8fcafb989175019c929698622249e4d1ab,Sat Aug 3 13:42:14 2024 -0400,Mark Adams,3,Set recording name according to the source (#2368)
9bee8c6034c129b03f8026a3f0eabef24b665a8b,Sat Aug 3 13:34:33 2024 -0400,Mark Adams,2,respect record arming for auditioning (#2374)
bf6cb351f8f2d1b034af59cd6351a89d6839237a,Sat Aug 3 10:29:26 2024 +0300,Nikodemus Siivola,3,adjust vertical scroll to account for scale shrinking & growth (#2364)
8301cfcad0f5760263321a85d4907d71d9dee0a8,Thu Aug 1 23:08:07 2024 +0300,Nikodemus Siivola,5,simplify Song::setRootNote() (#2350)
dbea7bee44e48eb2a68253637c66e353069b7c45,Tue Jul 30 16:13:00 2024 +0300,Nikodemus Siivola,3,simplify some YNote-stuff (#2356)
0f4dd7cd48d52faf01d4922767da5c4fd5e38252,Sun Jul 28 15:06:36 2024 -0400,Mark Adams,3,remove mpe zone auto learn (#2344)
ab4f0f47b90ac5feca24e5e3dc5e26573495b25e,Sat Jul 27 21:25:35 2024 -0400,Mark Adams,3,init audio file manager when sd read successfully (#2338)
2f3a5fff9294c4792ee3f11a311a8d4ffdbe2231,Tue Jul 23 16:07:58 2024 -0400,Mark Adams,2,switch to default initialization (#2328)
9c7d66a09397ccb51b3d898f263400d427b614ac,Sat Jul 20 18:06:36 2024 -0400,Mark Adams,5,Feature - offline rendering (#2314)
acb34525dbaac64a60519af3a344ba12e250eaf4,Tue Jul 9 21:25:34 2024 -0700,Sapphire Koser,4,chore: delete empty InstrumentClipMinder::opened (#2271)
cf7e00dcd1e9940f64cf227758703e4694f450ab,Mon Jul 8 17:31:20 2024 -0700,Sapphire Koser,4,chore: delete predeclarations for a class that doesn't exist (#2258)
6e7f4f8c7229a903dcd6a71432b775a26ede3ab8,Mon Jul 8 18:26:25 2024 +0300,Nikodemus Siivola,2,Windows configuration for VS code (#2266)
b95123bbd013ccf7505bd7c99da6270a5c66d712,Sun Jul 7 23:09:31 2024 +0300,Nikodemus Siivola,4,delete dead code: UI_MODE_TAP_TEMPO (#2265)
f3fbda960fc0212106b2f18bd43a5519251ba96e,Sat Jul 6 13:45:36 2024 -0400,Mark Adams,3,Don't send multiple clocks at once (#2145)
a5635714448b064554f29fe0e15d203a5fde82e0,Sun Jun 30 18:35:40 2024 -0700,Sapphire Koser,3,site: update for 1.1 release (#2197)
ab557a5aab31d874c16ace3a0147a9e211d5bf6c,Sat Jun 29 11:09:53 2024 -0400,Mark Adams,2,save when audition pressed while save held (#2198)
8aa506ff864e3bee7e3faa623e42904841d6a068,Fri Jun 14 18:34:00 2024 -0400,Sean Ditny,2,Remove encoderAction flag (#2129)
3219c70db70c924d650ecb0cc52e291c93d957d4,Sat Jun 15 00:33:50 2024 +0200,Raúl Muñoz,5,Persist chord memory to song file (community) (#2120)
e5b836b214ca2bb254338928e2e3bd760c1c593a,Sun Jun 2 20:35:54 2024 -0400,Mark Adams,2,Use conditional tasks for song loading instead of scheduled callbacks (#2082)
368a871e3246b911d14054e99b1bf3f9a6fee621,Sun Jun 2 18:29:56 2024 -0400,Mark Adams,3,Os/conditional tasks (#2071)
45b53d1fb78c494b499419f0724e216a446b261c,Wed May 29 21:55:37 2024 -0400,Mark Adams,5,Add names and usage stats to task manager (#2047)
eb97f3d17859888a7e55a71fb47c0ce38130f8d2,Wed May 29 18:34:27 2024 -0400,Mark Adams,3,Scheduler - reconfigure minimum time to be a gauranteed backoff between calls (#2029)
9d87f501c9aaa7e068ce1046c70c5e0166318bbd,Mon May 27 19:16:14 2024 -0400,Mark Adams,2,use inverse multiplication instead of division (#2044)
2e9b543a342d7485d9295793ff259b29e170510a,Sat May 25 16:19:50 2024 -0400,Mark Adams,3,Load songs asynchronously (#1932)
420191901a397093e42e88907035c69637817258,Sat May 25 00:27:21 2024 +0300,Nikodemus Siivola,3,encoders: delete dead code (#2020)
39145d0401af9b599035301abc4700366accf1be,Sun May 19 20:29:11 2024 -0700,Jeff Way,5,Ease timeline zoom level restriction (#1962)
4cf34f26344d094c9dc62ece59d5f3508701c569,Sat May 18 13:22:20 2024 +0200,Mark Adams,2,TaskScheduler/FillBusyWaitTime (#1925)
9f20b5da797191ad28118fe5c96014a8b6a02fd6,Tue May 14 19:12:28 2024 +0300,Nikodemus Siivola,2,LFO: S&H and random walk step properly on overflow (#1926)
84f52e9b1a9f1e8191e63fe8dd7af4fdf64ac4dd,Mon May 13 00:07:50 2024 +0200,Raúl Muñoz,2,Make cycling from 5-note scale to 7-note scale non destructive (remember note positions) (#1895)
c9d98050428f3e55803840709a9b5591707a37e7,Fri May 10 15:51:00 2024 -0400,Sean Ditny,2,Automation View Shuffle couple functions around (no code changes) (#1883)
d8cb26cc979f979a33d1a4728bcaf9cb908edddd,Fri May 10 18:10:55 2024 +0300,Nikodemus Siivola,2,use array initializers in scale code (#1880)
4be23644822a258bc39fd0cccb100fc10a87244b,Fri May 10 10:18:15 2024 -0400,Mark Adams,3,Scheduler/runonce tasks (#1879)
125dee83159ebac546f65183d2e96758e726f8bd,Sun May 5 17:32:35 2024 -0400,Mark Adams,3,use midi follow cc checking for loopback to make automation straightforward (#1828)
4259b822906899565a0168d422bd7467b00352e6,Fri May 3 20:14:09 2024 -0400,Sean Ditny,2,Added kScrollTime constant (#1825)
cdc1c057349c15ad9dd3117a84017a5c1ed1343b,Fri May 3 13:30:42 2024 -0700,Sapphire Koser,4,song: use 1.0 base makeup gain for compressor (#1767)
ed6393d08ea62bec98ad08f588e2fd53ecfd5ce4,Mon Apr 29 23:06:07 2024 +0200,Raúl Muñoz,2,Always read the old “mode” arp param (later overriden by new params) (#1800)
50fb9965ba56d384f673300148cc2dc885acf852,Sat Apr 27 19:25:36 2024 -0400,Mark Adams,4,cache whether the instrument is on card to avoid re checking (#1783)
d9e2d630df8f257d94f8f46bc2eb919882d3ef0f,Tue Apr 23 08:32:32 2024 -0700,Sapphire Koser,4,genfile check: use git diff instead (#1757)
7949a07c16b1c3b5ca86dcc6344cc1f6c7f97f9f,Sat Apr 6 11:55:41 2024 -0400,Mark Adams,2,rudimentary api for os timer (#1666)
202fadbc1bf3c4e5916573d485c1034c9d1d124a,Wed Apr 3 10:32:36 2024 -0400,Sean Ditny,2,Update VU meter clipping threshold (#1657)
10a751fe12e174e337ba1fb0ed4a4af8d7055b4f,Wed Apr 3 07:29:11 2024 -0700,Sapphire Koser,4,remove dev vars (#1630)
5f064365c49b1b9b7fad18bb2e2def3bf2d40935,Wed Apr 3 00:53:54 2024 -0700,Sapphire Koser,3,rms compressor: increase base makeup gain (#1655)
934ea0c7578b8f47d9c3cf6d8a67b6233ade07b2,Mon Apr 1 11:29:11 2024 -0400,Sean Ditny,2,Update default slice mode (#1602)
122407d20e8bd7c1feb9500a4d63d046f3ac0f09,Mon Apr 1 11:21:09 2024 -0400,Sean Ditny,2,Display master compressor param names (#1613)
df0d8903380afa618b84dffa116053a28f545e7c,Mon Apr 1 18:15:19 2024 +0300,Panu Matilainen,2,"Make the SysEx identity reply standards compliant, doh (#1640)"
d30653ebe2c831679dff36bb0b8a76b98ce7471e,Mon Apr 1 12:55:43 2024 +0300,Panu Matilainen,5,Implement Universal SysEx Identity response (#1639)
951a1c0fcaf980c5d942d150f379e677ca6df9ef,Sun Mar 31 20:25:01 2024 -0400,Mark Adams,2,dont render compressor when threshold is zero (#1628)
f3f9b31e90c8680f7cd7753d01cb6e74b708a7c7,Sat Mar 23 20:11:47 2024 -0400,Sean Ditny,3,Add compressor threshold to automation view list (#1573)
57f97410f12804ee839cca44fcef1754f776f5e3,Sat Mar 23 16:31:43 2024 -0400,Sean Ditny,3,Update session view detection (#1566)
d490c0b2690ab8f8a636cf1182afe1a873e7d0e2,Tue Mar 19 17:00:34 2024 -0400,Sean Ditny,3,Add Arp Rhythm to Automation View Select Scrolling (#1501)
ee8a3f0596dd439546dd2103b09269d3a491e244,Tue Mar 19 14:20:11 2024 -0400,Sean Ditny,3,Blink Play Button When CPU Direness High (#1506)
f0fe228ec553f173ff82b3d2a5ff3cd666ac410b,Sun Mar 10 12:52:49 2024 -0700,Sapphire Koser,2,loop lock: prevent start point disable during locked loop movement (#1461)
b3184bba5323bf5b88fd29bb75cd9ba3a9133bc7,Sat Mar 9 19:13:31 2024 +0100,Moritz Weigt,2,"dbt Loadfw: add write to file option, remove c version (#1458)"
e3427c5cd09c0f8148de9766acb946defced9d0f,Thu Mar 7 14:46:41 2024 -0500,Mark Adams,2,sample constants to be signed (#1449)
ff81816b839c0da50c1ddcfda79616efa200007f,Thu Mar 7 00:18:47 2024 +0800,Jonathan,2,default pad brightness : 4-100 value from UI with 4-step offset (#1427)
980d57ff9633fa25ddb347fee3f707e46085feac,Mon Mar 4 03:30:40 2024 +0800,Jonathan,3,failsafe mechanism for startup song feature (#1413)
6b90703fbc172fd1a85958ed8502b87d2f727054,Sun Mar 3 05:42:54 2024 +0800,Jonathan,4,Make startup song feature more robust (#1400)
306f24159c8d5b4b95c33b72374f287ef2e92840,Tue Feb 27 14:14:18 2024 -0500,Sean Ditny,2,Update PR #970 in community features (#1360)
a343a10eda39cf59009fd806b2d363fe80204d65,Sat Feb 24 18:20:26 2024 -0500,Mark Adams,4,Remove recursive render and include attempted audio clips in min voice calculation (#1316)
5a4476cb1d7fe50bf73289cabae3786f00a34b66,Fri Feb 23 21:33:09 2024 -0500,Sean Ditny,2,Review IO folder comment placement for better code wrapping (#1300)
ebae0ef8ea15f3d098f313a0615d004cdd62f26d,Sat Feb 24 03:08:48 2024 +0100,Raúl Muñoz,4,Flash OMODE and NMODE for 7Seg users when setting CUSTOM arp mode from pad shortcuts (#1309)
f9b9ac35a1b080ad05ab75ea8195fe9814eac7b2,Fri Feb 23 10:05:31 2024 -0500,Mark Adams,3,tweak thresholds (#1299)
c286ad1752f2c9f895d3f6a33368e051393b2f6c,Wed Feb 21 03:30:06 2024 -0500,Katherine Whitlock,4,Convert LATE_START_ATTEMPT enum to enum class (#1283)
08edab5042b77165ccacc491c05e0d4a45a9468a,Mon Feb 19 19:22:32 2024 -0600,Jamie Fenton,2,Remove unused routine (#1262)
d259263dececf5060d5f388c5a804a7c1598902c,Tue Feb 13 16:18:12 2024 -0500,Mark Adams,2,Remove constructor for column keyboard since song/instrument doesn't exist yet from a cold boot (#1224)
e04ec5146e0928f69432be4c68cb9159624479aa,Sun Feb 11 10:17:24 2024 -0500,Mark Adams,2,correct cast in get current kit (#1207)
916e94ba50b9fa900b47b75051f3a31189386422,Fri Feb 9 18:57:27 2024 +0100,Raúl Muñoz,4,Enable sysex logging to console by dbt command (#1199)
450e2c800329156a048d1b4e31e9afc2dc8bbb13,Thu Feb 8 18:55:29 2024 -0500,Sean Ditny,2,Set correct playmode for alternate arranger views (#1193)
2b200bdc60c6f7036c53cc8124f6aa75313f0566,Fri Feb 2 16:16:01 2024 -0500,Sean Ditny,2,Enhancement / MIDI Follow - Allow unlearning MIDI Follow Channels with Select Encoder (#1150)
416d140d576c62d0ddf3c6f38ee0ef49972773ef,Sun Jan 28 13:22:51 2024 -0500,Katherine Whitlock,2,Add util::map and expand Mutable parameter range (#1102)
3e6b6c33adaf27410ca711a45d49058bc26d2c2e,Sun Jan 28 12:45:02 2024 -0500,Sean Ditny,2,Ensure valid param collection (#1041)
